date,asset,weight
2025-09-01,AAPL,0.3897
2025-09-01,GOOG,0.2437
2025-09-01,MSFT,0.1436
2025-09-01,TSLA,0.2230
2025-10-01,AAPL,0.1806
2025-10-01,GOOG,0.2980
2025-10-01,JPM,0.1878
2025-10-01,MSFT,0.3336
2025-11-01,AAPL,0.2661
2025-11-01,JPM,0.2527
2025-11-01,META,0.2229
2025-11-01,MSFT,0.2583
2025-12-01,AAPL,0.2063
2025-12-01,JPM,0.2120
2025-12-01,META,0.1615
2025-12-01,MSFT,0.1688
2025-12-01,TSLA,0.0673
2025-12-01,XOM,0.1841
2026-01-01,GOOG,0.1988
2026-01-01,JPM,0.2088
2026-01-01,META,0.1187
2026-01-01,MSFT,0.2125
2026-01-01,TSLA,0.0831
2026-01-01,XOM,0.1781
2026-02-01,GOOG,0.1554
2026-02-01,JPM,0.1437
2026-02-01,META,0.2102
2026-02-01,MSFT,0.0942
2026-02-01,NVDA,0.2151
2026-02-01,XOM,0.1814
2026-03-01,AAPL,0.2130
2026-03-01,GOOG,0.2373
2026-03-01,META,0.1942
2026-03-01,MSFT,0.1474
2026-03-01,NVDA,0.1240
2026-03-01,XOM,0.0841
2026-04-01,AAPL,0.1545
2026-04-01,GOOG,0.1172
2026-04-01,META,0.0874
2026-04-01,MSFT,0.2374
2026-04-01,NVDA,0.1508
2026-04-01,XOM,0.2527
2026-05-01,AAPL,0.2282
2026-05-01,GOOG,0.1394
2026-05-01,JPM,0.1147
2026-05-01,META,0.2640
2026-05-01,NVDA,0.0891
2026-05-01,XOM,0.1646
2026-06-01,AAPL,0.1950
2026-06-01,GOOG,0.1330
2026-06-01,JPM,0.1452
2026-06-01,META,0.2005
2026-06-01,NVDA,0.1682
2026-06-01,TSLA,0.1581
2026-07-01,AAPL,0.2600
2026-07-01,JPM,0.1000
2026-07-01,META,0.2503
2026-07-01,NVDA,0.0961
2026-07-01,TSLA,0.2936
2026-08-01,AAPL,0.2483
2026-08-01,JPM,0.1071
2026-08-01,META,0.0911
2026-08-01,MSFT,0.2188
2026-08-01,NVDA,0.1770
2026-08-01,TSLA,0.1577
